"Paper_ID","TARA-KB:Article_ID","TARA-KB:Study_ID","TARA-KB:OCSI_Set_ID","Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment",""
"1327","A-112625-1327","S-112625-1327","O-112625-1327","https://doi.org/10.1007/s11655-007-0228-0","Clinical Observation on Treatment of Depression by Electro-Acupuncture Combined with Paroxetine","Not specified","Not specified","","","","","","",""
"1057","A-112625-1057","S-112625-1057","O-112625-1057","https://pubmed.ncbi.nlm.nih.gov/17955651.0/","Clinical Observation on Treatment of Ischemic Apoplexy by Electroacupuncture plus Acupoint Injection","LI 14, LI 11, TE 5, LI 4, GB 30, GB 34, GB 39, BL 40, ST 6, ST 4, CV 23, GB 20, GB 12, BL 10, ST 36","LI 14, LI 11, TE 5, LI 4, GB 30, GB 34, GB 39, BL 40, ST 6, ST 4, CV 23, GB 20, GB 12, BL 10, ST 36","LI 14, LI 11, TE 5, LI 4, GB 30, GB 34, GB 39, BL 40, ST 6, ST 4, CV 23, GB 20, GB 12, BL 10, ST 36","","TARA:3744150, TARA:8923096, TARA:8393005, TARA:0859695, TARA:9378285, TARA:8758950, TARA:3770332, TARA:5290080, TARA:7834226, TARA:1429314, TARA:5804897, TARA:2324295, TARA:1031890, TARA:0242146, TARA:6463344","","","",""
"1115","A-112625-1115","S-112625-1115","O-112625-1115","https://doi.org/10.1007/s11726-009-0349-4","Clinical Observation on Treatment of Knee Osteoarthrit is by Warm Needling Method","ST 35, Ex LE 4, GB 34, SP 9, GB 39, SP 6, SP 10, ST 34","ST 35, Ex LE 4, GB 34, SP 9, GB 39, SP 6, SP 10, ST 34","ST 35, Medial Xiyan, GB 34, SP 9, GB 39, SP 6, SP 10, ST 34","","TARA:2454652, TARA:8759132, TARA:8758950, TARA:3553465, TARA:3770332, TARA:4385250, TARA:8433932, TARA:8773594","","","",""
"1167","A-112625-1167","S-112625-1167","O-112625-1167","https://doi.org/10.1007/s11726-012-0609-6","Clinical Observation on Tuina plus Warm Needling
Moxibustion for Lumbar Disc Herniation","Jiaji EX-B 2, Yaoyangguan GV 3, Shiqizhui EX-B 8, Weizhong BL 40","Jiaji EX-B 2, Yaoyangguan GV 3, Shiqizhui EX-B 8, Weizhong BL 40","","Jiaji EX-B 2, Yaoyangguan GV 3, Shiqizhui EX-B 8, Weizhong BL 40","","","","",""
"1245","A-112625-1245","S-112625-1245","O-112625-1245","https://pubmed.ncbi.nlm.nih.gov/16136930.0/","Clinical Observation Ulcerative Colitis Treated by Acupuncture at Jiaji Points (EX B2) and Tapping with Plum blossom Needle at Sanjiaoshu (BL22) and Dachangshu (BL 25)A Report of 43 Cases","EX B2, BL 22, BL 25","EX B2, BL 22, BL 25","Huatuojiaji, BL 22, BL 25","","TARA:3734471, TARA:3963382, TARA:0906448","","","",""
"34","A-112625-34","S-112625-34","O-112625-34","https://doi.org/10.1016/s0254-6272(12)60009-0","Clinical Observations Acupuncture in Preterm Babies during Minor Painful Procedures","EX-HN 3, GV 20","EX-HN 3, GV 20","Yintang, GV 20","","TARA:3135569, TARA:3386254","","","",""
"898","A-112625-898","S-112625-898","O-112625-898","https://doi.org/10.1016/s0254-6272(10)60038-6","Clinical Observations Acupuncture plus Cupping for Treating Insomnia in College Students","GV 20, GV 23, EX-HN 3, PC 6, HT 7, ST 36, SP 6, LR 3, BL 20, BL 15, PC 7, KI 3, CV 12, ST 40, ST 45, SP 1,LR 2, GB 44, GB 20","GV 20, GV 23, EX-HN 3, PC 6, HT 7, ST 36, SP 6, LR 3, BL 20, BL 15, PC 7, KI 3, CV 12, ST 40, ST 45, SP 1, LR 2, GB 44, GB 20","GV 20, GV 23, Yintang, PC 6, HT 7, ST 36, SP 6, LR 3, BL 20, BL 15, PC 7, KI 3, CV 12, ST 40, ST 45, SP 1, LR 2, GB 44, GB 20","","TARA:3386254, TARA:7690229, TARA:3135569, TARA:4311153, TARA:2442762, TARA:6463344, TARA:4385250, TARA:6499349, TARA:3283628, TARA:5797983, TARA:9020892, TARA:4362146, TARA:0434959, TARA:9531666, TARA:2260472, TARA:8929565, TARA:6862058, TARA:6845331, TARA:2324295","","","",""
"1659","A-112625-1659","S-112625-1659","O-112625-1659","https://doi.org/10.1016/S0254-6272(11)60042-3","Clinical Observations Clinical Research of Acupuncture on Malignant Tumor Patients for Improving Depression and Sleep Quality","ST 40, SP 9, SP 10, SP 6, EX HN3, DU 20, EX HN1, PC 6, TF 4","ST 40, SP 9, SP 10, SP 6, EX HN3, DU 20, EX HN1, PC 6, TF 4","ST 40, SP 9, SP 10, SP 6, Yintang, GV 20, Sishencong, PC 6","TF 4","TARA:9531666, TARA:3553465, TARA:8433932, TARA:4385250, TARA:3135569, TARA:3386254, TARA:9610280, TARA:4311153","","","",""
"1046","A-112625-1046","S-112625-1046","O-112625-1046","https://doi.org/10.1142/S0192415X03001156","Clinical Observations on Postoperative Vomiting Treated by Auricular Acupuncture","Not specified","Not specified","","","","","","",""
"1240","A-112625-1240","S-112625-1240","O-112625-1240","uri not found","Clinical Research of Stomach Three-needle Acupuncture in the Treatment of Postoperative Gastroparesis Syndrome","CV 12, ST 36, PC 6","CV 12, ST 36, PC 6","CV 12, ST 36, PC 6","","TARA:0434959, TARA:6463344, TARA:4311153","","","",""
"1124","A-112625-1124","S-112625-1124","O-112625-1124","https://doi.org/10.1016/s0254-6272(09)60075-3","Clinical Research on Abdominal Acupuncture plus Conventional Acupuncture for Knee Osteoarthritis","CV 12, CV 4, ST 26, SP 15, Lower Rheumatism point, Qipang, EX-LE4, ST 35, GB 34, ST 34, SP 10, GB 33","CV 12, CV 4, ST 26, SP 15, Lower Rheumatism point, Qipang, EX-LE4, ST 35, GB 34, ST 34, SP 10, GB 33","CV 12, CV 4, ST 26, SP 15, Medial Xiyan, ST 35, GB 34, ST 34, SP 10, GB 33","Lower Rheumatism point, Qipang","TARA:0434959, TARA:9921528, TARA:8646804, TARA:4679170, TARA:8759132, TARA:2454652, TARA:8758950, TARA:8773594, TARA:8433932, TARA:3201959","","","",""
