"Artcle-URI","Article-Title","Acupoints-Extracted","Acupoints-Normalized","Acupoints-Mapped","Acupoints-Unmappable","Acupoints_TARA_IDs","Comment for internal use (CORE)","Comment from TEAM-Core","Comment","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/00002508-198912000-00006","A Controlled Trial of the Treatment of Migraine by Acupuncture","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1142/S0192415X02000028","A Controlled Trial on Acupuncture for Chronic Neck Pain","GB 20, GB 21, SI 12, SI 13, GO 14, LI 10, TB 5, LI 11, TB 8","GB 20, GB 21, SI 12, SI 13, GO 14, LI 10, TB 5, LI 11, TB 8","GB 20, GB 21, SI 12, SI 13, LI 10, TE 5, LI 11, TE 8","GO 14","TARA:2324295, TARA:5389461, TARA:5888779, TARA:9116386, TARA:0742938, TARA:8393005, TARA:8923096, TARA:1698911","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.jbmt.2020.04.001","A critical overview of the current myofascial pain literature","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1542/peds.2004-0744","A Double-Blind, Randomized, Placebo-Controlled Trial of Acupuncture for the Treatment of Childhood Persistent Allergic Rhinitis","EX-HN 3, EX-NH 8, ST 36","EX-HN 3, EX-NH 8, ST 36","Yintang, ST 36","EX-NH 8","TARA:3135569, TARA:6463344","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1007/s10549-013-2427-z","A dual-center randomized controlled double blind trial assessing the effect of acupuncture in reducing musculoskeletal symptoms in breast cancer patients taking aromatase inhibitors","CV 4, CV 6, CV 12, LI 4, MH 6, GB 34, ST 36, KI 3, BL 65","CV 4, CV 6, CV 12, LI 4, MH 6, GB 34, ST 36, KI 3, BL 65","CV 4, CV 6, CV 12, LI 4, GB 34, ST 36, KI 3, BL 65","MH 6","TARA:9921528, TARA:8833337, TARA:0434959, TARA:0859695, TARA:8758950, TARA:6463344, TARA:4362146, TARA:7430197","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2014-010593","A feasibility study to examine the role of acupuncture to reduce symptoms of lymphoedema after breast cancer: a randomised controlled trial","CV 12, CV 3, CV 2, LI 15, TE 4, LU 5, LI 4, ST 36, SP 9, SP 6","CV 12, CV 3, CV 2, LI 15, TE 4, LU 5, LI 4, ST 36, SP 9, SP 6","CV 12, CV 3, CV 2, LI 15, TE 4, LU 5, LI 4, ST 36, SP 9, SP 6","","TARA:0434959, TARA:0022762, TARA:6969962, TARA:7829474, TARA:1594912, TARA:1357729, TARA:0859695, TARA:6463344, TARA:3553465, TARA:4385250","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/s0740-5472(01)00217-3","A large randomized placebo controlled study of auricular acupuncture for alcohol dependence","Shen Men, Lung, Sympathetic, Liver","Shen Men, Lung, Sympathetic, Liver","HT 7","Lung, Sympathetic, Liver","TARA:2442762","","","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/2148263.0/","A meta analysis of studies into the effect of acupuncture on addiction","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1007/s10571-008-9336-4","A Meta-Analysis of Acupuncture Combined with Opioid Receptor Agonists for Treatment of Opiate-Withdrawal Symptoms","neiguan, zusanli, HT 7, hegu, sanyinjiao","neiguan, zusanli, shenmen, hegu, sanyinjiao","PC 6, ST 36, HT 7, LI 4, SP 6","","TARA:4311153, TARA:6463344, TARA:2442762, TARA:0859695, TARA:4385250","","changed shenmen","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/tc.8.4.393","A meta-analysis of acupuncture techniques for smoking cessation","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1089/acm.2013.0364","A Meta-Analysis of Acupuncture Use in the Treatment of Cognitive Impairment After Stroke","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1016/j.drugalcdep.2014.07.002","A meta-analysis of ear-acupuncture, ear-acupressure and auriculotherapy for cigarette smoking cessation","Lung, Shenmen, Mouth, Shoulder, Eye, Knee","","","","","","removed points as it is a review","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1136/acupmed-2012-010155","A meta-analysis of the efficacy of acupuncture in treating dysphagia in patients with a stroke","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/all.12053","A multicenter, randomized, controlled trial testing the effects of acupuncture on allergic rhinitis","LI 4, LI 20, ST 2, ST 36, EX 1, GV 23","LI 4, LI 20, ST 2, ST 36, GV 23","LI 4, LI 20, ST 2, ST 36, GV 23","","TARA:0859695, TARA:6681003, TARA:6392753, TARA:6463344, TARA:7690229","","taken out","","","","","","","","","","","","","","","","","","",""
"https://pubmed.ncbi.nlm.nih.gov/16705841.0/","A Multicentral Randomized Control Study on Clinical Acupuncture Treatment of Bell's Palsy","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1111/papr.12309","A New Method for Sham  Controlled Acupuncture in Experimental Visceral Paina Randomized, Single  Blinded Study","Ren 12, Ren 10, Ren 9, Ren 7, Ren 6, Ren 4, umbilicus, ST 25, ST 26, LI 4, ST 37","Ren 12, Ren 10, Ren 9, Ren 7, Ren 6, Ren 4, umbilicus, ST 25, ST 26, LI 4, ST 37","CV 12, CV 10, CV 9, CV 7, CV 6, CV 4, ST 25, ST 26, LI 4, ST 37","umbilicus","TARA:0434959, TARA:1822260, TARA:4534524, TARA:0411625, TARA:8833337, TARA:9921528, TARA:5717468, TARA:8646804, TARA:0859695, TARA:5918799","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1097/00043764-199507000-00013","A Nonconventional Approach to the Treatment of ""Environmental Illness""","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1089/acm.2009.0367","A Novel Approach to Evaluate Traditional Chinese Medicine Treatment Outcomes Using Pattern Identification","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1177/026921559701100302","A one year follow  up study on the effects of acupuncture in the treatment of stroke patients in the subacute stage: a randomized, controlled study","Not specified","Not specified","","","","","","","","","","","","","","","","","","","","","","","",""
"https://doi.org/10.1186/1472-6882-12-123","A PET-CT study on the specificity of acupoints through acupuncture treatment in migraine patients","TE 5, GB 34, GB 20, ST 8, LI 6, ST 36","TE 5, GB 34, GB 20, ST 8, LI 6, ST 36","TE 5, GB 34, GB 20, ST 8, LI 6, ST 36","","TARA:8393005, TARA:8758950, TARA:2324295, TARA:9946635, TARA:9876402, TARA:6463344","","","","","","","","","","","","","","","","","","","","",""
